commons-collections,Apache Commons Collections
org.ccil.cowan.tagsoup,TagSoup
io.reactivex.rxjava2,RxJava
com.mikepenz,MaterialDrawer Library
org.msgpack,MessagePack For Java
io.micrometer,Micrometer Registry New Relic
com.squareup.okhttp3,OkHttp
com.google.guava,Guava: Google Core Libraries For Java
org.jetbrains.kotlin,Kotlin Android Extensions Runtime
io.sentry,Sentry SDK
com.pushwoosh,Pushwoosh
com.nostra13.universalimageloader,Universal Image Loader Library
com.teamagam.androidslidinguppanel,Library
org.apache.httpcomponents,Apache HttpClient
org.ocpsoft.prettytime,PrettyTime Core
com.scottyab,Rootbeer
com.bluelinelabs,Conductor
com.google.guava,Guava: Google Core Libraries For Java
org.apereo.cas,CAS Server Support Geolocation
com.google.guava,Guava: Google Core Libraries For Java
com.github.castorflex.smoothprogressbar,SmoothProgressBar Library
ch.acra,Application Crash Report For Android
com.google.guava,Guava: Google Core Libraries For Java
com.fasterxml.jackson.core,Jackson Annotations
com.google.guava,Guava: Google Core Libraries For Java
clj-http,Clj HTTP
com.atlassian.plugins,Atlassian Plugins Core
org.jdom,JDOM
com.rudderstack.android.integration,Rudder Integration Braze Android
org.slf4j,SLF4J API Module
org.springframework,Spring TestContext Framework
android.arch.work,Android WorkManager Runtime
com.caverock,AndroidSVG
org.jetbrains,JetBrains Java Annotations
com.google.guava,Guava: Google Core Libraries For Java
com.senspark.ee,Soomla Store
com.google.android.gms,Play Services Analytics
com.google.guava,Guava: Google Core Libraries For Java
io.realm,Realm Annotations
com.google.guava,Guava: Google Core Libraries For Java
com.amazonaws,AWS Java SDK For Amazon S3
nl.dionsegijn,Konfetti
com.github.yalantis,UCrop
com.crittercism,Crittercism Agent For Android
com.google.code.findbugs,FindBugs JSR305
com.stripe,Stripe Java
org,Jaudiotagger
org.json,JSON In Java
org.slf4j,SLF4J API Module
com.clevertap.android,CleverTap Android SDK
org.renjin,Utilities
org.holoeverywhere,HoloEverywhere SlidingMenu
io.fotoapparat,Fotoapparat
com.fasterxml.jackson.core,Jackson Databind
