tpl_name,raw_num_node,raw_num_class,raw_num_edge,num_node,num_class,num_edge
com.adjust.sdk,4933,406,13,4936,406,3006
com.adjust.sdk,4933,406,13,4936,406,3006
com.adjust.sdk,4933,406,13,4936,406,3006
com.adjust.sdk,4933,406,13,4936,406,3006
com.adjust.sdk,4933,406,13,4936,406,3006
com.adjust.sdk,9033,730,13,9033,730,7115
com.adjust.sdk,7470,665,13,7470,665,6620
com.adjust.sdk,7470,665,13,7470,665,6622
com.adjust.sdk,7470,665,13,7470,665,6622
com.adjust.sdk,7480,663,13,7480,663,6662
com.adjust.sdk,7479,663,13,7479,663,6659
com.adjust.sdk,7489,664,13,7489,664,6698
com.adjust.sdk,7505,662,13,7505,662,6693
com.adjust.sdk,7687,689,13,7687,689,6808
com.adjust.sdk,7557,670,13,7557,670,6763
com.adjust.sdk,7573,673,13,7573,673,6835
com.adjust.sdk,7796,695,13,7796,695,7606
com.adjust.sdk,7797,695,13,7797,695,7573
com.adjust.sdk,8000,722,13,8000,722,7797
com.adjust.sdk,8000,722,13,8000,722,7807
com.adjust.sdk,8000,722,13,8000,722,7823
com.adjust.sdk,8038,727,13,8038,727,7986
com.adjust.sdk,8047,727,13,8047,727,8015
com.adjust.sdk,2192,189,13,2193,189,956
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,9054,729,13,9054,729,7227
com.adjust.sdk,9036,730,13,9036,730,7125
com.adjust.sdk,9067,734,13,9067,734,7170
com.adjust.sdk,9067,734,13,9067,734,7192
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,2190,187,13,2191,187,956
com.adjust.sdk,9124,755,13,9124,755,7329
com.adjust.sdk,9369,779,13,9369,779,7765
com.adjust.sdk,9021,731,13,9021,731,6711
com.adjust.sdk,7458,666,13,7458,666,6230
com.adjust.sdk,7458,666,13,7458,666,6232
com.adjust.sdk,7458,666,13,7458,666,6232
com.adjust.sdk,7468,664,13,7468,664,6272
com.adjust.sdk,7467,664,13,7467,664,6269
com.adjust.sdk,7477,665,13,7477,665,6308
com.adjust.sdk,7493,663,13,7493,663,6301
com.adjust.sdk,7675,690,13,7675,690,6414
com.adjust.sdk,7545,671,13,7545,671,6371
com.adjust.sdk,7561,674,13,7561,674,6443
com.adjust.sdk,7784,696,13,7784,696,7210
com.adjust.sdk,7785,696,13,7785,696,7177
com.adjust.sdk,7988,723,13,7988,723,7397
com.adjust.sdk,7988,723,13,7988,723,7407
com.adjust.sdk,7988,723,13,7988,723,7423
com.adjust.sdk,8026,728,13,8026,728,7586
com.adjust.sdk,8035,728,13,8035,728,7615
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,2039,186,13,2040,186,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,9064,731,13,9064,731,7298
com.adjust.sdk,9024,731,13,9024,731,6721
com.adjust.sdk,9055,735,13,9055,735,6766
com.adjust.sdk,9055,735,13,9055,735,6788
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,2038,185,13,2039,185,771
com.adjust.sdk,9112,756,13,9112,756,6915
com.adjust.sdk,9357,780,13,9357,780,7349
com.adjust.sdk,7669,620,13,7688,620,6231
com.adjust.sdk,7669,619,13,7689,619,6232
com.adjust.sdk,7668,618,13,7688,618,6232
com.adjust.sdk,7668,618,13,7688,618,6232
com.adjust.sdk,1964,174,13,1964,174,713
com.adjust.sdk,7668,618,13,7688,618,6232
com.adjust.sdk,7668,618,13,7688,618,6232
com.adjust.sdk,7674,619,13,7695,619,6241
com.adjust.sdk,7674,619,13,7695,619,6241
com.adjust.sdk,7675,619,13,7696,619,6244
com.adjust.sdk,7675,619,13,7696,619,6244
com.adjust.sdk,7675,619,13,7696,619,6244
com.adjust.sdk,7675,619,13,7696,619,6244
com.adjust.sdk,7678,619,13,7699,619,6263
com.adjust.sdk,7678,619,13,7699,619,6263
com.adjust.sdk,7679,619,13,7700,619,6266
com.adjust.sdk,7679,619,13,7700,619,6266
com.adjust.sdk,7681,619,13,7702,619,6277
com.adjust.sdk,8049,665,13,8072,665,6362
com.adjust.sdk,8049,665,13,8072,665,6366
com.adjust.sdk,8049,665,13,8072,665,6366
com.adjust.sdk,8049,665,13,8072,665,6366
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adjust.sdk,8050,665,13,8073,665,6369
com.adtoapp.android,1965,175,13,1965,175,714
com.adtoapp.android,1965,175,13,1965,175,714
com.adtoapp.android,1965,175,13,1965,175,714
com.adtoapp.android,1965,175,13,1965,175,714
com.amazonaws,8698,1067,13,8813,1067,15551
com.applovin,16115,1695,13,16128,1695,40580
com.applovin.mediation,7141,591,13,7152,591,4784
com.appnexus.opensdk,12407,1137,13,12408,1137,16538
com.appnexus.opensdk.mediatedviews,7081,559,13,7085,559,4753
com.appsflyer,8806,688,13,8806,688,7392
com.bingzer.android.ads,6193,491,13,6196,491,4058
com.buzzvil.buzzscreen,6183,483,13,6183,483,4066
com.cleveradssolutions,14532,1574,13,14554,1574,26068
com.conversantmedia,2749,260,68,2750,260,1887
com.criteo.publisher,11756,1273,13,11799,1273,16043
com.facebook.android,14164,1381,13,14188,1381,23727
com.github.moceanapi,2689,250,13,2689,250,930
com.google.ads.mediation,7198,596,13,7209,596,5022
com.google.android.gms,17404,2297,13,17554,2297,38207
com.google.android.gms,21499,3017,13,21671,3017,59363
com.google.android.gms,25291,4256,13,25496,4256,511595
com.google.android.gms,12870,1300,13,12915,1300,16628
com.google.android.gms,17597,2059,13,17659,2059,34519
com.google.guava,1968,176,13,1968,176,713
com.google.guava,1968,176,13,1968,176,713
com.google.guava,21750,2778,13,21818,2778,257459
com.google.guava,1977,183,13,1977,183,713
com.google.guava,3266,334,13,3266,334,3753
com.google.guava,2004,181,13,2004,181,713
com.google.guava,2004,181,13,2004,181,713
com.google.guava,2014,182,13,2014,182,713
com.google.guava,2014,182,13,2014,182,713
com.google.guava,7068,743,13,7094,743,71990
com.google.guava,2343,317,13,2384,317,857
com.google.guava,3235,291,13,3240,291,1890
com.google.guava,2740,230,13,2746,230,1536
com.google.guava,5515,671,13,5552,671,16302
